"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @Harryslaststand: #Duterte is a mass murderer.
https://t.co/JfvAGBwooJ",FALSE,0,NA,2016-10-10 19:22:20,FALSE,NA,"785561118962057217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","louiseleelee",19,TRUE,FALSE,NA,NA,"","en-gb","http://pbs.twimg.com/profile_images/681267614782500865/Bak3S6UN_normal.jpg"
"2","‘At least 3,600 slaughtered’ in #Philippines President Rodrigo #Duterte’s first 100 days in office
https://t.co/FNXhFMvcPK
#humanrights",FALSE,0,NA,2016-10-10 19:16:48,FALSE,NA,"785559727329710081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Timbo972",0,FALSE,FALSE,NA,NA,"Earth and elsewhere","en","http://pbs.twimg.com/profile_images/97556205/worldpico_normal.png"
"3","Probably one Our Father and a couple of Hail Mary's.        #Duterte https://t.co/rU5u3jIyPj",FALSE,0,NA,2016-10-10 19:08:34,FALSE,NA,"785557654139641856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tishalozano",0,FALSE,FALSE,NA,NA,"Los Angeles","en","http://pbs.twimg.com/profile_images/551861120093270019/ob9fMLG6_normal.jpeg"
"4","Sebastian to #Duterte  - the problem is YOU! 
#BilibidProbe https://t.co/KBLS4zMq99",FALSE,0,NA,2016-10-10 19:06:51,FALSE,NA,"785557222608764928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shamanseki",0,FALSE,FALSE,NA,NA,"Alexandria VA","en","http://pbs.twimg.com/profile_images/574442608233066496/0hVIZEJe_normal.jpeg"
"5","RT @DocmskMarc: State sponsored Murder without Due Process!!! Philippine President #Duterte;Autocrat;Dictator; Murderer! #Trumpesque https:…",FALSE,0,NA,2016-10-10 18:58:29,FALSE,NA,"785555118326419456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RenHu2",2,TRUE,FALSE,NA,NA,"Batac, Ilocos Norte","en","http://pbs.twimg.com/profile_images/766286954644156417/cVquiOSZ_normal.jpg"
"6","After 65 years of US military presence, #Philippines president Rodrigo #Duterte orders US forces out of country,... https://t.co/GZLyxcCVXf",FALSE,0,NA,2016-10-10 18:55:53,FALSE,NA,"785554464832823296",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","JohnIshIshmael",0,FALSE,FALSE,NA,NA,"Canada","en","http://pbs.twimg.com/profile_images/2879565768/5c30639ebf6ef5478a117f683e1497e8_normal.png"
"7","Mio articolo per il @CafeGeopolitico su #Duterte e la guerra alla droga https://t.co/FlmlWRsOKk",FALSE,0,NA,2016-10-10 18:49:41,FALSE,NA,"785552903377448960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rai_neuer",0,FALSE,FALSE,NA,NA,"Italy","it","http://pbs.twimg.com/profile_images/680472603006496768/Bx_zUvJg_normal.jpg"
"8","Is #Duterte #presidency affecting the #Philippine #economy? https://t.co/9b4ZbrT156 via @dwnews",FALSE,0,NA,2016-10-10 18:43:22,FALSE,NA,"785551312486293509",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","World__Economy",0,FALSE,FALSE,NA,NA,"USA","en","http://pbs.twimg.com/profile_images/2113118784/Transatlanticaxis_normal.png"
"9","A sad day as the #Philippine Church tries to come to grips with a demented leader. A so called #Christian society c… https://t.co/qlXxXbUqsC",FALSE,0,NA,2016-10-10 18:42:22,TRUE,NA,"785551061255938049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shellytheoracle",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/554103948693344256/zyQTst3y_normal.jpeg"
"10","RT @CaseyMdoza: So much cursing; So much translating.

Here's a piece I wrote on the context of Filipino Pres. #Duterte's language.

https:…",FALSE,0,NA,2016-10-10 18:37:56,FALSE,NA,"785549944945991680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LukeDrabyn",3,TRUE,FALSE,NA,NA,"Arlington, VA","en","http://pbs.twimg.com/profile_images/701745407152422913/NXxXVAad_normal.jpg"
"11","RT @DiegoMeynard: Change happening #Duterte",FALSE,0,NA,2016-10-10 18:36:06,FALSE,NA,"785549485871075329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gseqatson",3,TRUE,FALSE,NA,NA,"","ru","http://pbs.twimg.com/profile_images/785512466767806464/cqURxWU4_normal.jpg"
"12","RT @DocmskMarc: State sponsored Murder without Due Process!!! Philippine President #Duterte;Autocrat;Dictator; Murderer! #Trumpesque https:…",FALSE,0,NA,2016-10-10 18:36:05,FALSE,NA,"785549478229110784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jake_Witmer",2,TRUE,FALSE,NA,NA,"PGP: 53BC115A92986C44","en","http://pbs.twimg.com/profile_images/766673768957693952/MkqEttKT_normal.jpg"
"13","RT @mareeep: Duterte's death toll in his war on drugs AKA extra judicial killing - is 3400 and rising. #Duterte is a cold blooded murderer.",FALSE,0,NA,2016-10-10 18:35:03,FALSE,NA,"785549220879142912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jake_Witmer",2,TRUE,FALSE,NA,NA,"PGP: 53BC115A92986C44","en","http://pbs.twimg.com/profile_images/766673768957693952/MkqEttKT_normal.jpg"
"14","RT @impulse_random: #Duterte merits arrest as a mass murderer. https://t.co/LruDQ0e0LB",FALSE,0,NA,2016-10-10 18:33:33,FALSE,NA,"785548844146761728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jake_Witmer",1,TRUE,FALSE,NA,NA,"PGP: 53BC115A92986C44","en","http://pbs.twimg.com/profile_images/766673768957693952/MkqEttKT_normal.jpg"
"15","RT @flipcritic: #Matobato was right. #Duterte is a murderer-supreme. And the #Philippines is blind to it. Remember September 19, 2016. Conf…",FALSE,0,NA,2016-10-10 18:33:23,FALSE,NA,"785548798781222912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jake_Witmer",1,TRUE,FALSE,NA,NA,"PGP: 53BC115A92986C44","en","http://pbs.twimg.com/profile_images/766673768957693952/MkqEttKT_normal.jpg"
